Rainfall,Temp_min,Temp_max,Hum_min,Hum_max,Time,Power
96.3,22,31.9,75,94,2013-January,1633991
228.3,22.5,33.5,72,94,2013-February,1094607
319.2,23.1,34,77,97,2013-March,2145374
280.6,24.1,34.3,76,97,2013-April,4632494
492.3,24.5,31.5,83,95,2013-May,2567256
542.8,23.7,30.1,84,93,2013-June,4305650
317.1,23.7,30.3,82,92,2013-July ,3511818
144.4,23.5,31.4,76,92,2013-August,1653870
417.1,23.1,30.9,80,95,2013-September,3003147
361.2,23.1,31.6,81,97,2013-October,2142089
335.3,22.9,32.4,79,97,2013-November,3353428
41.1,22.6,31.7,76,94,2013-December,1749606
293.4,22.3,33.1,72,94,2014-January,4249710
76.8,21.7,34.5,66,91,2014-February,561279
139.4,22.5,34.8,68,93,2014-March,657601
420.5,23.3,33.9,80,98,2014-April,1158873
226,24.2,32.7,80,96,2014-May,1434321
578.7,24.6,31.3,80,90,2014-June,2836533
233.3,24.5,31.3,76,89,2014-July ,1860108
618.6,23.1,30.6,82,95,2014-August,2606338
589.3,23.3,31.9,81,96,2014-September,2400514
813,22.9,31.7,85,97,2014-October,3842655
277.6,22.5,31.1,83,97,2014-November,3088920
444,22.9,30.6,84,97,2014-December,3426218
93.6,22.2,33.7,69,93,2015-January,1197628
199,22,33.5,71,95,2015-February,1067926
87.6,22.7,34.3,72,95,2015-March,1034379
434.4,23.2,34.3,77,97,2015-April,1867217
180.3,24.3,33.1,79,96,2015-May,989602
272.3,23.8,32.2,80,96,2015-June,1328712
173.6,24.2,31.3,78,91,2015-July ,1499006
339.3,23.9,31.4,79,94,2015-August,1729680
397.2,23.5,31.1,84,97,2015-September,2302991
525.1,23.3,31.6,83,98,2015-October,3016343
468.3,23.2,31.5,82,98,2015-November,2726784
291.8,23.1,32,80,97,2015-December,2040738
139.7,22.9,32.9,75,96,2016-January,993300
88.9,22.8,34.1,70,94,2016-February,608716
193.7,23.8,35.3,68,94,2016-March,501325
396.5,24.2,34.7,77,98,2016-April,1022774
811.3,24,31.3,87,98,2016-May,2951513
220.4,24.6,31.2,78,90,2016-June,2655550
193.4,24.2,31.3,75,89,2016-July ,902439
131.9,24.4,31.1,75,89,2016-August,748402
101.7,23.7,31.5,73,91,2016-September,610253
156.2,23.1,32,75,96,2016-October,936795
236.6,23.1,31.2,81,97,2016-November,2277065
163.9,22.1,32.3,72,95,2016-December,694816
38.7,21.1,32.4,68,92,2017-January,565116
33.1,21.7,33.5,66,91,2017-February,282762
263.7,22.9,33.7,75,96,2017-March,930850
200.9,23.9,34,75,96,2017-April,4053366
983.3,24,31.8,83,97,2017-May,4153399
376.4,24.2,30.8,82,95,2017-June,2027506
183.7,24.3,31.4,77,91,2017-July ,4165301
353,23.9,30.8,80,94,2017-August,2688588
611.7,23.3,30.9,82,96,2017-September,3091873
511.7,23.4,30.8,84,97,2017-October,2998745
509.1,23,30.9,81,96,2017-November,2243173
243.1,22.6,31.7,77,96,2017-December,2670846
14,21.1,32.7,68,92,2018-January,830273
91.6,22.5,33.6,72,94,2018-February,697018
185.1,23.1,33.6,75,95,2018-March,1103333
394.2,23.1,33.5,80,97,2018-April,2113316
586.4,23.9,31.8,83,97,2018-May,3255411
467.7,24,30.5,84,94,2018-June,3626326
160.9,24.1,30.3,79,89,2018-July ,2041385
185.4,23.9,30.3,77,88,2018-August,2298271
284.7,22.9,32.8,73,94,2018-September,1143181
438.8,23.2,31.5,83,97,2018-October,2858659
394.4,22.8,31.7,80,97,2018-November,2026376
169.3,22.3,31.9,77,95,2018-December,1241857
37.5,21.9,33.3,70,93,2019-January,565897
306,22.6,33.9,74,95,2019-February,1064290
123.8,22.8,34.5,69,93,2019-March,767673
225.1,23.7,34.7,74,96,2019-April,751317
99.3,24.2,33.4,75,95,2019-May,800613
397.2,24.2,31.5,81,94,2019-June,2360925
224,23.8,31.9,76,94,2019-July ,1667967
642.1,23.6,30.6,82,94,2019-August,2652944
469.9,,,,,2019-September,3311657
598.6,22.8,31.3,85,98,2019-October,3840584
348.9,23.1,32.3,81,97,2019-November,3253208
200.4,23,31.5,81,97,2019-December,2788992
122.5,22.5,33.8,69,92,2020-January,926898
21.4,22.7,35.1,64,89,2020-February,302391
150.1,23.6,35.4,65,92,2020-March,328614
191.6,23.5,34.6,75,,2020-April,1111032
737.1,24.3,32.7,84,,2020-May,2668875
328,24.2,31.5,81,,2020-June,1989893
253.2,23.6,31.3,81,96,2020-July ,2123328
192.9,23.5,31.9,74,93,2020-August,2170664
590.8,23.3,30.2,84,95,2020-September,2966340
207.4,23.5,31.5,77,,2020-October,2329182
437.7,23.3,32.9,78,,2020-November,2866316
214.5,22.9,32,78,,2020-December,2038497
183.8,22.8,31.7,79,,2021-January,1720458
72,22.4,33.7,71,,2021-February,1207245
308.8,22.5,33.6,74,,2021-March,1657896
212.6,23.4,33.8,75,95,2021-April,2323078
742.4,23.7,32,82,95,2021-May,3298871
548.5,23.6,31.5,78,78,2021-June,2845031
368.5,23.9,30.7,80,92,2021-July ,2775751
377.1,23.7,30.5,80,92,2021-August,2584770
407.7,23.5,30.8,82,94,2021-September,2799934
508,23.3,30.9,82,95,2021-October,3502228
487.4,22.9,30.3,85,95,2021-November,3431184
193.7,22.6,32.7,75,94,2021-December,2439702
