Year,Month,Rainfall,Temp_min,Temp_max,Hum_min,Hum_max
2010,January,233.6,22.1,32.1,,
2010,February,111.9,22.6,33.9,,
2010,March,157.5,23.1,35.2,,
2010,April,438.3,23.7,33.5,,
2010,May,658.5,24,31.8,,
2010,June,451.5,23.9,30.9,,
2010,July ,367.4,23.4,30.8,,
2010,August,385.5,24,30.3,,
2010,September,310.3,23.5,30.9,,
2010,October,436.6,23.2,31,,
2010,November,540.3,22.7,30.7,,
2010,December,469.7,22.3,29.8,,
2011,January,205.1,21.6,29.9,79,95
2011,February,174.3,22.6,31.6,77,95
2011,March,292.1,22.7,33.2,75,96
2011,April,731.7,23.1,32.3,80,97
2011,May,341.5,24.2,31.9,79,96
2011,June,238.6,24.3,31.3,77,92
2011,July ,225.8,24,30.6,79,91
2011,August,306.7,23.6,30.6,80,94
2011,September,345.1,23,31.5,,
2011,October,187.5,23.2,32.9,77,96
2011,November,268.2,22.9,32.1,79,97
2011,December,113.4,22.1,32.1,77,95
2012,January,36.6,21.5,33.6,66,90
2012,February,149.9,22.2,33.4,71,92
2012,March,289.7,22.8,34,69,94
2012,April,432.2,22.7,32.9,79,97
2012,May,146.9,24,33,72,92
2012,June,253.1,24.2,31.2,79,92
2012,July ,204.2,24.1,31.1,76,89
2012,August,393.9,23.2,31.3,78,93
2012,September,272.6,23.3,31.1,79,95
2012,October,365.6,22.8,32.1,79,96
2012,November,489.7,22.9,32.1,79,96
2012,December,345.9,22.4,31.4,79,96
2013,January,96.3,22,31.9,75,94
2013,February,228.3,22.5,33.5,72,94
2013,March,319.2,23.1,34,77,97
2013,April,280.6,24.1,34.3,76,97
2013,May,492.3,24.5,31.5,83,95
2013,June,542.8,23.7,30.1,84,93
2013,July ,317.1,23.7,30.3,82,92
2013,August,144.4,23.5,31.4,76,92
2013,September,417.1,23.1,30.9,80,95
2013,October,361.2,23.1,31.6,81,97
2013,November,335.3,22.9,32.4,79,97
2013,December,41.1,22.6,31.7,76,94
2014,January,293.4,22.3,33.1,72,94
2014,February,76.8,21.7,34.5,66,91
2014,March,139.4,22.5,34.8,68,93
2014,April,420.5,23.3,33.9,80,98
2014,May,226,24.2,32.7,80,96
2014,June,578.7,24.6,31.3,80,90
2014,July ,233.3,24.5,31.3,76,89
2014,August,618.6,23.1,30.6,82,95
2014,September,589.3,23.3,31.9,81,96
2014,October,813,22.9,31.7,85,97
2014,November,277.6,22.5,31.1,83,97
2014,December,444,22.9,30.6,84,97
2015,January,93.6,22.2,33.7,69,93
2015,February,199,22,33.5,71,95
2015,March,87.6,22.7,34.3,72,95
2015,April,434.4,23.2,34.3,77,97
2015,May,180.3,24.3,33.1,79,96
2015,June,272.3,23.8,32.2,80,96
2015,July ,173.6,24.2,31.3,78,91
2015,August,339.3,23.9,31.4,79,94
2015,September,397.2,23.5,31.1,84,97
2015,October,525.1,23.3,31.6,83,98
2015,November,468.3,23.2,31.5,82,98
2015,December,291.8,23.1,32,80,97
2016,January,139.7,22.9,32.9,75,96
2016,February,88.9,22.8,34.1,70,94
2016,March,193.7,23.8,35.3,68,94
2016,April,396.5,24.2,34.7,77,98
2016,May,811.3,24,31.3,87,98
2016,June,220.4,24.6,31.2,78,90
2016,July ,193.4,24.2,31.3,75,89
2016,August,131.9,24.4,31.1,75,89
2016,September,101.7,23.7,31.5,73,91
2016,October,156.2,23.1,32,75,96
2016,November,236.6,23.1,31.2,81,97
2016,December,163.9,22.1,32.3,72,95
2017,January,38.7,21.1,32.4,68,92
2017,February,33.1,21.7,33.5,66,91
2017,March,263.7,22.9,33.7,75,96
2017,April,200.9,23.9,34,75,96
2017,May,983.3,24,31.8,83,97
2017,June,376.4,24.2,30.8,82,95
2017,July ,183.7,24.3,31.4,77,91
2017,August,353,23.9,30.8,80,94
2017,September,611.7,23.3,30.9,82,96
2017,October,511.7,23.4,30.8,84,97
2017,November,509.1,23,30.9,81,96
2017,December,243.1,22.6,31.7,77,96
2018,January,14,21.1,32.7,68,92
2018,February,91.6,22.5,33.6,72,94
2018,March,185.1,23.1,33.6,75,95
2018,April,394.2,23.1,33.5,80,97
2018,May,586.4,23.9,31.8,83,97
2018,June,467.7,24,30.5,84,94
2018,July ,160.9,24.1,30.3,79,89
2018,August,185.4,23.9,30.3,77,88
2018,September,284.7,22.9,32.8,73,94
2018,October,438.8,23.2,31.5,83,97
2018,November,394.4,22.8,31.7,80,97
2018,December,169.3,22.3,31.9,77,95
2019,January,37.5,21.9,33.3,70,93
2019,February,306,22.6,33.9,74,95
2019,March,123.8,22.8,34.5,69,93
2019,April,225.1,23.7,34.7,74,96
2019,May,99.3,24.2,33.4,75,95
2019,June,397.2,24.2,31.5,81,94
2019,July ,224,23.8,31.9,76,94
2019,August,642.1,23.6,30.6,82,94
2019,September,469.9,,,,
2019,October,598.6,22.8,31.3,85,98
2019,November,348.9,23.1,32.3,81,97
2019,December,200.4,23,31.5,81,97
2020,January,122.5,22.5,33.8,69,92
2020,February,21.4,22.7,35.1,64,89
2020,March,150.1,23.6,35.4,65,92
2020,April,191.6,23.5,34.6,75,
2020,May,737.1,24.3,32.7,84,
2020,June,328,24.2,31.5,81,
2020,July ,253.2,23.6,31.3,81,96
2020,August,192.9,23.5,31.9,74,93
2020,September,590.8,23.3,30.2,84,95
2020,October,207.4,23.5,31.5,77,
2020,November,437.7,23.3,32.9,78,
2020,December,214.5,22.9,32,78,
2021,January,183.8,22.8,31.7,79,
2021,February,72,22.4,33.7,71,
2021,March,308.8,22.5,33.6,74,
2021,April,212.6,23.4,33.8,75,95
2021,May,742.4,23.7,32,82,95
2021,June,548.5,23.6,31.5,78,78
2021,July ,368.5,23.9,30.7,80,92
2021,August,377.1,23.7,30.5,80,92
2021,September,407.7,23.5,30.8,82,94
2021,October,508,23.3,30.9,82,95
2021,November,487.4,22.9,30.3,85,95
2021,December,193.7,22.6,32.7,75,94
