Power,Time,Temp_min,Temp_max,Hum_min,Hum_max,Rainfall
1337701,2013-January,22,31.9,75.3,94.3,71.40000033
1170096,2013-February,22.5,33.5,72.3,94.3,217.8999987
1604287,2013-March,23.1,34,77.4,97.4,312.3999985
2060601,2013-April,24.1,34.3,76.1,97.2,202.5999986
6133238,2013-May,24.5,31.5,82.9,95.2,569.3999966
6996320,2013-June,23.7,30.1,83.8,93,578.999999
6590531,2013-July ,23.7,30.3,81.9,91.6,384.0000012
4372854,2013-August,23.5,31.4,75.9,91.5,130.9999981
4942559,2013-September,23.1,30.9,80,94.7,471.3999939
4529847,2013-October,23.1,31.6,80.8,96.7,501.8999941
3195240,2013-November,22.9,32.4,79.1,97.1,218.2999983
1937480,2013-December,22.6,31.7,76.3,94.4,88.60000014
1295000,2014-January,22.3,33.1,71.9,94.1,124.7000005
603663,2014-February,21.7,34.5,66.4,91.4,116.8999996
1188840,2014-March,22.5,34.8,67.5,92.6,98.30000019
1485012,2014-April,23.3,33.9,80,98,660.2
2954389,2014-May,24.2,32.7,80,95.7,429.099999
6057312,2014-June,24.6,31.3,79.8,90.2,226.2999982
5204665,2014-July ,24.5,31.3,75.6,89.1,237.5000017
6332665,2014-August,23.1,30.6,81.9,95,598.399996
5166610,2014-September,23.3,31.9,80.5,95.7,531.3000014
5643707,2014-October,22.9,31.7,84.8,97.4,
3235940,2014-November,22.5,31.1,82.7,97.2,451.6999996
3435607,2014-December,22.9,30.6,83.9,97,308.1999977
1315781,2015-January,22.2,33.7,68.9,93.2,97.5
1633422,2015-February,22,33.5,71,94.8,334.9000025
1063026,2015-March,22.7,34.3,71.5,95.3,322.1000023
3233260,2015-April,23.2,34.3,77.3,97.4,562.0999961
4556864,2015-May,24.3,33.1,79.4,95.9,226.7000008
5002834,2015-June,23.8,32.2,80,96,331.2999995
5217084,2015-July ,24.2,31.3,77.5,91.3,171.2000004
4708884,2015-August,23.9,31.4,78.5,94.1,384.7999988
5914167,2015-September,23.5,31.1,84,96.6,475.7000047
5824991,2015-October,23.3,31.6,82.5,97.6,618.599999
4384063,2015-November,23.2,31.5,82.1,97.6,465.200001
2760978,2015-December,23.1,32,79.8,96.9,339.1000008
1318647,2016-January,22.9,32.9,74.5,96.2,277.5999944
509117,2016-February,22.8,34.1,70.4,94.2,104.8999986
709720,2016-March,23.8,35.3,68.4,93.9,355.8000032
1320043,2016-April,24.2,34.7,76.7,97.5,580.9000049
5713867,2016-May,24,31.3,86.7,97.7,1250.499997
5513819,2016-June,24.6,31.2,77.5,90.4,290.4999982
4008243,2016-July ,24.2,31.3,75.1,89.2,215.5999997
4731918,2016-August,24.4,31.1,75.2,88.8,156.1000012
3667695,2016-September,23.7,31.5,73.3,91.3,93.700001
3634485,2016-October,23.1,32,74.7,95.6,324.3999941
3806554,2016-November,23.1,31.2,81.4,96.9,353.3000011
947011,2016-December,22.1,32.3,71.6,94.7,36.30000019
651507,2017-January,21.1,32.4,68,92.4,91.29999852
360468,2017-February,21.7,33.5,66.2,91.1,13.39999962
41082097,2017-March,22.9,33.7,74.9,96,507.7000017
1685293,2017-April,23.9,34,74.8,96.2,225.8000048
4164133,2017-May,24,31.8,82.7,97.3,946.6000023
5941390,2017-June,24.2,30.8,82.1,95.2,258.7999997
4082126,2017-July ,24.3,31.4,76.9,90.5,162.0000007
6493852,2017-August,23.9,30.8,80,93.8,382.6000016
5695122,2017-September,23.3,30.9,81.7,95.5,744.2999898
6745822,2017-October,23.4,30.8,83.7,96.9,796.6999965
3268413,2017-November,23,30.9,81.3,96.1,371.7999964
3111425,2017-December,22.6,31.7,77,95.6,325.5
