Year,Month,Rainfall,Temp_min,Temp_max,Hum_min,Hum_max
2010,January,130.2,22.1,32.1,,
2010,February,41.3,22.6,33.9,,
2010,March,171.5,23.1,35.2,,
2010,April,421.7,23.7,33.5,,
2010,May,793.3,24,31.8,,
2010,June,395.8,23.9,30.9,,
2010,July ,433.1,23.4,30.8,,
2010,August,366.2,24,30.3,,
2010,September,,23.5,30.9,,
2010,October,322.2,23.2,31,,
2010,November,663.5,22.7,30.7,,
2010,December,445.3,22.3,29.8,,
2011,January,162.8,21.6,29.9,79.3,95.1
2011,February,192.2,22.6,31.6,76.8,95.3
2011,March,296.8,22.7,33.2,75.2,96.1
2011,April,773.1,23.1,32.3,80.1,97.0
2011,May,702.5,24.2,31.9,78.8,95.5
2011,June,284.5,24.3,31.3,77.2,92.1
2011,July ,226.9,24,30.6,78.5,90.7
2011,August,376.3999997,23.6,30.6,79.6,93.8
2011,September,416.7000008,23,31.5,NA,NA
2011,October,406.0999997,23.2,32.9,77.4,96.1
2011,November,321.2999976,22.9,32.1,78.6,96.5
2011,December,119.4999999,22.1,32.1,76.7,94.8
2012,January,17.49999988,21.5,33.6,65.5,90.2
2012,February,220.5000023,22.2,33.4,70.7,92.3
2012,March,243.000001,22.8,34,69.2,93.7
2012,April,696.6999979,22.7,32.9,79.3,96.5
2012,May,267.6000001,24,33,72.0,91.5
2012,June,374.400001,24.2,31.2,78.6,91.6
2012,July ,182.8999984,24.1,31.1,76.1,89.4
2012,August,450.9000024,23.2,31.3,77.6,93.4
2012,September,300.2999997,23.3,31.1,79.2,94.5
2012,October,468.7000005,22.8,32.1,78.6,96.3
2012,November,505.7999954,22.9,32.1,79.4,96.3
2012,December,NA,22.4,31.4,78.8,96
2013,January,71.40000033,22,31.9,75.3,94.3
2013,February,217.8999987,22.5,33.5,72.3,94.3
2013,March,312.3999985,23.1,34,77.4,97.4
2013,April,202.5999986,24.1,34.3,76.1,97.2
2013,May,569.3999966,24.5,31.5,82.9,95.2
2013,June,578.999999,23.7,30.1,83.8,93
2013,July ,384.0000012,23.7,30.3,81.9,91.6
2013,August,130.9999981,23.5,31.4,75.9,91.5
2013,September,471.3999939,23.1,30.9,80,94.7
2013,October,501.8999941,23.1,31.6,80.8,96.7
2013,November,218.2999983,22.9,32.4,79.1,97.1
2013,December,88.60000014,22.6,31.7,76.3,94.4
2014,January,124.7000005,22.3,33.1,71.9,94.1
2014,February,116.8999996,21.7,34.5,66.4,91.4
2014,March,98.30000019,22.5,34.8,67.5,92.6
2014,April,660.2,23.3,33.9,80,98
2014,May,429.099999,24.2,32.7,80,95.7
2014,June,226.2999982,24.6,31.3,79.8,90.2
2014,July ,237.5000017,24.5,31.3,75.6,89.1
2014,August,598.399996,23.1,30.6,81.9,95
2014,September,531.3000014,23.3,31.9,80.5,95.7
2014,October,,22.9,31.7,84.8,97.4
