Year,Month,Rainfall,Temp_min,Temp_max,Hum_min,Hum_max
2010,January,104.6999992,11.0,20.2,,
2010,February,34.60000002,12.0,22.1,,
2010,March,128.3000007,11.5,23.0,,
2010,April,153.1999999,13.1,22.5,,
2010,May,174.3000015,14.1,21.7,,
2010,June,270.2000013,13.5,20.2,,
2010,July ,170.2000005,13.2,18.9,,
2010,August,196.3000001,13.5,19.0,,
2010,September,180.6000016,13.1,19.4,,
2010,October,247.0999993,12.2,19.6,,
2010,November,286.1999993,12.0,19.9,,
2010,December,168.0999994,12.1,18.5,,
2011,January,,11.6,18.5,83,87
2011,February,212.4999983,10.8,20.3,77,87
2011,March,100.6,11.0,21.0,74,83
2011,April,107.6999999,11.4,21.4,75,90
2011,May,96.59999996,12.7,21.7,80,94
2011,June,38.39999998,13.4,20.1,80,90
2011,July ,141.3999988,13.4,18.5,87,91
2011,August,49.19999982,13.4,19.3,86,93
2011,September,91.60000069,12.6,20.3,81,89
2011,October,264.1000013,11.9,20.8,83,95
2011,November,,11.8,19.5,83,93
2011,December,169.3,10.9,19.6,80,87
2012,January,39.90000105,8.4,20.8,72,87
2012,February,134.9000008,10.1,20.4,73,81
2012,March,37.09999982,9.1,22.3,58,74
2012,April,143.8000009,12.0,21.4,81,93
2012,May,6,12.3,22.5,68,80
2012,June,22.89999991,13.6,19.6,81,90
2012,July ,113.3999996,13.4,19.4,81,89
2012,August,107.6999995,13.0,19.6,82,92
2012,September,75.69999896,13.0,20.2,81,89
2012,October,437.9000039,12.3,20.4,84,93
2012,November,255.4000015,11.6,20.4,83,92
2012,December,360.799995,12.2,18.9,81,85
2013,January,158.4000008,10.6,19.9,77,88
2013,February,141.7000021,10.3,20.1,79,89
2013,March,153.4000005,11.5,21.7,78,90
2013,April,102.8999991,11.4,23.1,75,90
2013,May,148.5000005,14.0,21.4,85,95
2013,June,337.8000011,13.6,17.5,92,96
2013,July ,167.1000017,13.4,17.8,90,95
2013,August,165.5999999,12.9,19.5,84,94
2013,September,149.2999996,12.5,18.7,85,93
2013,October,173.9999985,12.1,20.0,82,92
2013,November,173.0999988,11.4,20.1,80,92
2013,December,,11.1,19.2,84,92
2014,January,22,10.5,19.8,81,92
2014,February,20.0999999,9.7,21.5,64,75
2014,March,50.40000057,11.3,21.7,66,75
2014,April,149.2,11.3,22.8,71,89
2014,May,178.7999995,13.0,22.2,80,92
2014,June,,14.0,19.0,86,92
2014,July ,82.9999995,13.7,18.3,86,92
2014,August,74.09999979,13.2,19.3,83,91
2014,September,171.5999998,12.9,19.5,82,93
2014,October,249.2000005,12.7,20.6,83,94
